AccountID,AccNumber,CardNumber,AccountGroupID,AccountGroupName,Title,FirstName,LastName,Status,OtherName_1,OtherName_2,Street_1,Street_2,Street_3,City,State,Country,PCode,PhoneHome,PhoneWork,Fax,Mobile,Email1st,Email2nd,PostalStreet_1,PostalStreet_2,PostalStreet_3,PostalCity,PostalState,PostalCountry,PostalPCode,Comment,DateJoined,DateNextRenewal,DateLastRenewal,DateExpiry,MembershipID,RenewalID,DateBirth,Gender,DoNotPost,DoNotEmail,DoNotSMS,DoNotPhone,ExportCode_1,ExportCode_2,CreditLimit,DiscountLimit,StopCredit,CashOnly,PointsEarnOK,PointsRedeemOK,PointsPercent,UseCALinkPnts,AccountType,AllowedVenueID,AllowedOperatorID,PriceNumber,PricingMode,PricingSortType,PricingPercent,DiscNumber,UseGroupSettings,StatemtComment,OrderNumReqd,CustomFlag_1,CustomFlag_2,CustomFlag_3,CustomFlag_4,CustomFlag_5,CustomFlag_6,CustomFlag_7,CustomFlag_8,CustomFlag_9,CustomFlag_10,CustomNum_1,CustomNum_2,CustomNum_3,CustomNum_4,CustomNum_5,CustomDate_1,CustomDate_2,CustomDate_3,CustomDate_4,CustomDate_5,CustomText_1,CustomText_2,CustomText_3,CustomText_4,CustomText_5,CustomText_6,CustomText_7,CustomText_8,CustomText_9,CustomText_10,CustomText_11,CustomText_12,CustomText_13,CustomText_14,CustomText_15,CustomText_16,CustomText_17,CustomText_18,CustomText_19,CustomText_20,Account Balance,GrossTurnover,NettTurnover,PointsEarned,PointsRedeemed,Joining Fees Paid,Renewals Paid,Count of Visits,DateLastTrans
,,,,,,Carolyn,Ferguson,Active,,,,,,,,,,,,,,cferguson51@mediafire.com,,,,,,,,,,,,,,,,Dec 16 1929  5:59AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Diane,Lawrence,Active,,,,,,,,,,,,,,dlawrence1s@ask.com,,,,,,,,,,,,,,,,Oct 21 1959  2:54AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Frank,Harvey,Active,,,,,,,,,,,,,,fharveyee@mayoclinic.com,,,,,,,,,,,,,,,,Jan 13 1945 12:59PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elizabeth,Burton,Active,,,,,,,,,,,,,,eburtoned@mozilla.org,,,,,,,,,,,,,,,,Mar  8 1914  8:27AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Carlos,Green,Active,,,,,,,,,,,,,,cgreenh0@usgs.gov,,,,,,,,,,,,,,,,Apr 18 1932  5:43PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Marilyn,Shaw,Active,,,,,,,,,,,,,,mshawd1@wp.com,,,,,,,,,,,,,,,,Mar  5 1991  4:50PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Ralph,Hall,Active,,,,,,,,,,,,,,rhall3p@vinaora.com,,,,,,,,,,,,,,,,Sep 26 1954  8:30PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Jane,Stone,Active,,,,,,,,,,,,,,jstoneem@digg.com,,,,,,,,,,,,,,,,Jun  7 1956  6:54PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Elizabeth,Lynch,Active,,,,,,,,,,,,,,elynch7c@friendfeed.com,,,,,,,,,,,,,,,,Mar 25 1966  9:27AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anna,James,Active,,,,,,,,,,,,,,ajamesfu@dyndns.org,,,,,,,,,,,,,,,,Nov 18 1966  9:07AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Billy,Wood,Active,,,,,,,,,,,,,,bwoodei@youku.com,,,,,,,,,,,,,,,,May 30 1954  3:49AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brian,Richards,Active,,,,,,,,,,,,,,brichardseu@soundcloud.com,,,,,,,,,,,,,,,,Sep 28 1994  2:12PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Harry,Berry,Active,,,,,,,,,,,,,,hberry8t@businessweek.com,,,,,,,,,,,,,,,,Nov 12 1912  1:33PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Emily,Mendoza,Active,,,,,,,,,,,,,,emendozae2@globo.com,,,,,,,,,,,,,,,,Apr 30 1984  4:12AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anna,Rivera,Active,,,,,,,,,,,,,,arivera3i@nasa.gov,,,,,,,,,,,,,,,,Mar  6 1977  1:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Terry,Bell,Active,,,,,,,,,,,,,,tbell3e@vimeo.com,,,,,,,,,,,,,,,,Jun 16 1983  2:29AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Timothy,Mcdonald,Active,,,,,,,,,,,,,,tmcdonaldjb@comsenz.com,,,,,,,,,,,,,,,,Oct 15 1981 10:12PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Antonio,Lopez,Active,,,,,,,,,,,,,,alopez3o@artisteer.com,,,,,,,,,,,,,,,,Aug 21 1950  3:45AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Billy,Porter,Active,,,,,,,,,,,,,,bporter4@shop-pro.jp,,,,,,,,,,,,,,,,Jun 18 1995  9:27PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joan,Frazier,Active,,,,,,,,,,,,,,jfraziere8@google.co.uk,,,,,,,,,,,,,,,,Dec  1 1912  9:56AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Samuel,Cox,Active,,,,,,,,,,,,,,scoxc5@blogtalkradio.com,,,,,,,,,,,,,,,,Oct 11 1967  1:12PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Angela,Cox,Active,,,,,,,,,,,,,,acox2q@wordpress.org,,,,,,,,,,,,,,,,Jan  9 1963  2:21PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Earl,Phillips,Active,,,,,,,,,,,,,,ephillipsic@theglobeandmail.com,,,,,,,,,,,,,,,,Jul 10 1933  8:25PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Joshua,Perez,Active,,,,,,,,,,,,,,jperezf3@xinhuanet.com,,,,,,,,,,,,,,,,Mar 18 1990 10:17PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Brandon,Henry,Active,,,,,,,,,,,,,,bhenry34@constantcontact.com,,,,,,,,,,,,,,,,Jan  5 1984 11:35AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Earl,Graham,Active,,,,,,,,,,,,,,egraham2j@bravesites.com,,,,,,,,,,,,,,,,May 10 1926  9:12AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Bonnie,Martinez,Active,,,,,,,,,,,,,,bmartinezb6@symantec.com,,,,,,,,,,,,,,,,Oct 31 1946 12:47AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Stephen,Woods,Active,,,,,,,,,,,,,,swoods19@cocolog-nifty.com,,,,,,,,,,,,,,,,Apr 19 1971  6:09AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Anthony,Warren,Active,,,,,,,,,,,,,,awarrenko@elpais.com,,,,,,,,,,,,,,,,Oct 23 1949 10:17AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Pamela,Morrison,Active,,,,,,,,,,,,,,pmorrisonef@blogtalkradio.com,,,,,,,,,,,,,,,,Sep 26 1963  1:44PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Albert,Bennett,Active,,,,,,,,,,,,,,abennetthg@sfgate.com,,,,,,,,,,,,,,,,Jul 16 1934  3:10AM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Lois,Garrett,Active,,,,,,,,,,,,,,lgarrett6g@pinterest.com,,,,,,,,,,,,,,,,Oct 24 1988 11:13PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,Martha,Flores,Active,,,,,,,,,,,,,,mflores55@intel.com,,,,,,,,,,,,,,,,Jan 22 1972  4:01PM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/16/2014 6:45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
